起始,区段名,需安装,系统字体,备注
119A0.,Nandinagari,Noto Unicode,,
11A00.,Zanabazar Square,Noto Unicode,,
11A50.,Soyombo,Noto Unicode,,
11AB0.,Unified Canadian Aboriginal Syllabics Extended-A,Noto Unicode,,
11AC0.,Pau Cin Hau,Noto Unicode,,
11B00.,Devanagari Extended-A,Monu Temp 0.93,,！Noto完全没有，在补，Last有1个
11C00.,Bhaiksuki,Noto Unicode,,
11C70.,Marchen,Noto Unicode,,
11D00.,Masaram Gondi,Noto Unicode,,
11D60.,Gunjala Gondi,Noto Unicode,,
11EE0.,Makasar,Noto Unicode,,
11F00.,Kawi,Noto Unicode,,Noto偷跑版缺1字，补之
11FB0.,Lisu Supplement,Noto Unicode,,
11FC0.,Tamil Supplement,Noto Unicode,,
12000.,Cuneiform,Noto Unicode,,SegoeUI His.缺1字
12400.,Cuneiform Numbers and Punctuation,,Segoe UI Historic,
12480.,Early Dynastic Cuneiform,Noto Unicode,,
12F90.,Cypro-Minoan,Noto Unicode,,
13000.,Egyptian Hieroglyphs,Noto Unicode,,SegoeUI His.、Noto都缺或误字，改之
13430.,Egyptian Hieroglyph Format Controls,Noto Unicode ⊃ Ctrl Ctrl,,
14400.,Anatolian Hieroglyphs,Noto Unicode,,
16800.,Bamum Supplement,Noto Unicode,,
16A40.,Mro,Noto Unicode,,
16A70.,Tangsa,Noto Unicode,,
16AD0.,Bassa Vah,Noto Unicode,,
16B00.,Pahawh Hmong,Noto Unicode,,
16E40.,Medefaidrin,Noto Unicode,,
16F00.,Miao,Noto Unicode,,
16FE0.,Ideographic Symbols and Punctuation,Noto Unicode,,
17000.,Tangut,Noto Serif Tangut 2.169,,
18800.,Tangut Components,Noto Serif Tangut,,
18B00.,Khitan Small Script,Noto Unicode,,
18D00.,Tangut Supplement,Noto Serif Tangut,,
1AFF0.,Kana Extended-B,Monu Hani ⊃ Ctrl Kana 1.1,,思源完全没有，原创之
1B000.,Kana Supplement,Monu Temp,,！思源完全没有，Last有1个，Monu有2个
1B100.,Kana Extended-A,Monu Temp,,！思源完全没有，Last有1个，Monu有4个
1B130.,Small Kana Extension,Monu Hani ⊃ Monu 12,,思源完全没有，补之
1B170.,Nushu,Noto Unicode,,
1BC00.,Duployan,Noto Unicode,,
1BCA0.,Shorthand Format Controls,Noto Unicode,,
1CF00.,Znamenny Musical Notation,Noto Unicode,,
1D000.,Byzantine Musical Symbols,Noto Unicode,,
1D100.,Musical Symbols,Noto Unicode ⊃ Ctrl Ctrl,,SegoeUI Sym.、Noto2.002都(?)缺字，补之
1D200.,Ancient Greek Musical Notation,Noto Unicode,,
1D2C0.,Kaktovik Numerals,Noto Unicode ⊃ Ctrl Math 1,,Noto完全没有，原创之
1D2E0.,Mayan Numerals,Noto Unicode,,
1D300.,Tai Xuan Jing Symbols,,Segoe UI Symbol,
1D360.,Counting Rod Numerals,Noto Unicode,,Noto字形有修
1D400.,Mathematical Alphanumeric Symbols,,Segoe UI Symbol，等,
1D800.,Sutton SignWriting,Noto Unicode,,
1DF00.,Latin Extended-G,Noto Unicode,,Noto2.010缺字(31/37)，补之
1E000.,Glagolitic Supplement,Noto Unicode,,
1E030.,Cyrillic Extended-D,Noto Unicode,,Noto完全没有，补之
1E100.,Nyiakeng Puachue Hmong,Noto Unicode,,
1E290.,Toto,Noto Unicode,,
1E2C0.,Wancho,Noto Unicode,,
1E4D0.,Nag Mundari,Noto Unicode,,Last有1个
1E7E0.,Ethiopic Extended-B,Noto Unicode,,
1E800.,Mende Kikakui,Noto Unicode,,
1E900.,Adlam,,Ebrima,NotoUni曾有
1EC70.,Indic Siyaq Numbers,Noto Unicode,,
1ED00.,Ottoman Siyaq Numbers,Noto Unicode,,Last有1个
1EE00.,Arabic Mathematical Alphabetic Symbols,Noto Unicode,,
1F000.,Mahjong Tiles,,Segoe UI Emoji 1.29，等,
1F030.,Domino Tiles,,Segoe UI Symbol,
1F0A0.,Playing Cards,,Segoe UI Symbol,
1F100.,Enclosed Alphanumeric Supplement,Noto Unicode,,
1F200.,Enclosed Ideographic Supplement,Monu Hani,,NotoUni曾有
1F300.,Miscellaneous Symbols and Pictographs,Noto Unicode,,Noto2.001字形有修，SegoeUI Sym.缺1字
1F600.,Emoticons,,Segoe UI Emoji，等,
1F650.,Ornamental Dingbats,,Segoe UI Symbol,
1F680.,Transport and Map Symbols,Noto Unicode,,Noto2.001字形有修，SegoeUI Sym.缺15字
1F700.,Alchemical Symbols,Noto Unicode,,SegoeUI Sym.、Noto2.002都缺字，补之
1F780.,Geometric Shapes Extended,Noto Unicode,,
1F800.,Supplemental Arrows-C,Noto Unicode,,
1F900.,Supplemental Symbols and Pictographs,Noto Unicode,,Noto2.001字形有修，SegoeUI Emj.缺26字
1FA00.,Chess Symbols,Noto Unicode,,
1FA70.,Symbols and Pictographs Extended-A,Noto Unicode,,Noto2.001字形有修
1FB00.,Symbols for Legacy Computing,Noto Unicode,,
20000.,CJK Unified Ideographs Extension B,Monu Han2 6.399,,
2A700.,CJK Unified Ideographs Extension C,Monu Han2,,
2B740.,CJK Unified Ideographs Extension D,Monu Han2,SimSun-ExtB 5.03，等,或可精简，但欠黑体
2B820.,CJK Unified Ideographs Extension E,Monu Han2,,
2CEB0.,CJK Unified Ideographs Extension F,Monu Han2,,
2EBF0.,CJK Unified Ideographs Extension I,Monu Han2,,
2F800.,CJK Compatibility Ideographs Supplement,Monu Han2,,
30000.,CJK Unified Ideographs Extension G,Monu Han3 1.175,,
31350.,CJK Unified Ideographs Extension H,Monu Han3,,
E0000.,Tags,Noto Unicode ⊃ Ctrl Ctrl,,
E0100.,Variation Selectors Supplement,Noto Unicode ⊃ Ctrl Ctrl,,
F0000.,Supplementary Private Use Area-A,Monu Last,,私用区
100000,Supplementary Private Use Area-B,Monu Last,,私用区
